age(kyr)  SST(°C)  
  101.2     27.4
  102.4     27.5
  104.9     27.3
  106.2     27.0
  107.8     26.8
  109.7     26.7
  111.8     26.6
  114.2     26.6
  116.2     26.7
  116.7     26.7
  117.5     26.8
  118.7     27.0
  119.8     27.2
  120.9     27.6
  121.9     27.7
  123.0     27.7
  124.0     27.8
  126.1     27.9
  127.6     27.8
  129.2     27.8
  130.7     27.5
  132.4     27.3
  133.4     26.9
  134.6     26.3
  135.6     26.0
  136.9     26.1
  138.2     26.0
  139.2     26.1
  140.4     25.7
  141.7     26.1
  142.9     26.4
  143.8     26.3
  145.2     26.7
  146.5     26.6
  147.5     26.6
  148.7     26.6
  149.0     26.7
  149.2     26.2
